folder,album_artist,album,current_genre,tracks,new_genre,
Y:\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD03,Miles Davis,The Complete Miles Davis At Montreux (CD 3),Jazz,5,Jazz,
Y:\Lee Scratch Perry\Miles Davis\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD04,Miles Davis,The Complete Miles Davis At Montreux (CD 4),Fusion,6,Jazz,
Y:\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD04,Miles Davis,The Complete Miles Davis At Montreux (CD 4),Fusion,6,Jazz,
Y:\Lee Scratch Perry\Miles Davis\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD05,Miles Davis,The Complete Miles Davis At Montreux (CD 5),Jazz,5,Jazz,
Y:\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD05,Miles Davis,The Complete Miles Davis At Montreux (CD 5),Jazz,5,Jazz,
Y:\Lee Scratch Perry\Miles Davis\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD06,Miles Davis,The Complete Miles Davis At Montreux (CD 6),Jazz,7,Jazz,
Y:\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD06,Miles Davis,The Complete Miles Davis At Montreux (CD 6),Jazz,7,Jazz,
Y:\Lee Scratch Perry\Miles Davis\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD07,Miles Davis,The Complete Miles Davis At Montreux (CD 7),Jazz,7,Jazz,
Y:\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD07,Miles Davis,The Complete Miles Davis At Montreux (CD 7),Jazz,7,Jazz,
Y:\Lee Scratch Perry\Miles Davis\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD08,Miles Davis,The Complete Miles Davis At Montreux (CD 8),Jazz,7,Jazz,
Y:\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD08,Miles Davis,The Complete Miles Davis At Montreux (CD 8),Jazz,7,Jazz,
Y:\Lee Scratch Perry\Miles Davis\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD09,Miles Davis,The Complete Miles Davis At Montreux (CD 9),Jazz,6,Jazz,
Y:\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD09,Miles Davis,The Complete Miles Davis At Montreux (CD 9),Jazz,6,Jazz,
Y:\Miles Davis - Full Discography Mp3 320 kbps Pack 1\5.1 Box sets - Compilation\2007 The Complete On The Corner Sessions (6 CD) @320\CD1,Miles Davis,The Complete On The Corner Sessions (Disc 1),Fusion,5,Jazz,
Y:\Miles Davis - Full Discography Mp3 320 kbps Pack 1\5.1 Box sets - Compilation\2007 The Complete On The Corner Sessions (6 CD) @320\CD2,Miles Davis,The Complete On The Corner Sessions (Disc 2),Fusion,5,Jazz,
